Location Name,Incident cases in 2023 (thousands),"% change, cases, 1990 to 2023",Age-standardised incidence rate in 2023,"% change, age-standardised incidence rate, 1990 to 2023",Deaths in 2023 (thousands),"% change, deaths, 1990 to 2023",Age-standardised death rate in 2023,"% change, age-standardised death rate, 1990 to 2023"
Global,"382
(319 to 469)","89.3
(54.7 to 136.4)","4.4
(3.7 to 5.4)","2.7
(-15.5 to 27.8)","264
(230 to 313)","83.8
(62.5 to 100.7)","3.0
(2.6 to 3.5)","-5.9
(-16.1 to 2.5)"
World Bank High Income,"138
(119 to 164)","75.8
(44.0 to 119.7)","6.7
(5.6 to 8.0)","13.0
(-9.7 to 45.6)","89.2
(83.9 to 93.0)","67.7
(59.5 to 76.3)","3.9
(3.7 to 4.0)","1.0
(-3.7 to 5.9)"
World Bank Upper Middle Income,"168
(136 to 221)","89.9
(52.7 to 146.4)","5.1
(4.0 to 6.6)","7.0
(-14.2 to 38.7)","118
(98.9 to 149)","82.8
(56.5 to 110.7)","3.4
(2.8 to 4.2)","-8.4
(-20.7 to 4.4)"
World Bank Lower Middle Income,"61.6
(46.9 to 82.4)","116.9
(57.6 to 186.5)","2.2
(1.7 to 2.9)","10.8
(-18.9 to 43.1)","46.0
(36.3 to 60.9)","119.6
(63.0 to 177.4)","1.7
(1.4 to 2.3)","7.2
(-19.3 to 35.8)"
World Bank Low Income,"13.9
(9.69 to 18.6)","126.7
(65.3 to 202.2)","2.6
(1.8 to 3.5)","3.9
(-23.2 to 35.7)","9.89
(6.95 to 13.4)","122.3
(66.8 to 189.9)","2.0
(1.4 to 2.8)","1.4
(-23.2 to 31.8)"
"Central Europe, Eastern Europe, and Central Asia","30.0
(27.6 to 32.5)","44.2
(29.8 to 59.5)","5.4
(4.9 to 5.9)","16.7
(4.1 to 30.9)","26.1
(24.5 to 27.8)","53.8
(42.7 to 66.5)","4.4
(4.1 to 4.7)","18.4
(10.0 to 28.9)"
Central Asia,"5.08
(4.51 to 5.75)","112.0
(78.9 to 146.7)","5.1
(4.5 to 5.8)","33.0
(13.1 to 54.8)","4.02
(3.63 to 4.52)","116.7
(86.3 to 150.8)","4.1
(3.7 to 4.6)","31.0
(13.0 to 52.8)"
Central Europe,"10.8
(9.87 to 11.7)","28.1
(19.1 to 38.3)","6.1
(5.5 to 6.7)","-0.8
(-8.7 to 8.6)","9.86
(9.07 to 10.4)","38.6
(30.5 to 46.4)","5.0
(4.7 to 5.3)","0.3
(-4.9 to 5.2)"
Eastern Europe,"14.1
(12.5 to 15.5)","41.6
(20.7 to 64.8)","4.8
(4.3 to 5.4)","19.4
(1.1 to 41.4)","12.3
(11.1 to 13.3)","52.8
(35.2 to 75.9)","3.9
(3.6 to 4.3)","23.4
(10.0 to 41.9)"
High-income,"118
(99.4 to 143)","82.8
(45.9 to 136.4)","7.1
(5.9 to 8.8)","14.3
(-11.2 to 51.7)","71.0
(66.0 to 74.8)","71.0
(59.6 to 82.7)","3.8
(3.6 to 4.0)","0.4
(-6.4 to 7.8)"
Australasia,"2.97
(2.64 to 3.38)","86.9
(54.2 to 121.3)","6.5
(5.7 to 7.4)","-10.0
(-25.2 to 8.9)","2.09
(1.93 to 2.25)","79.4
(61.7 to 97.7)","4.2
(3.9 to 4.5)","-19.2
(-26.8 to -11.6)"
High-income Asia Pacific,"19.7
(14.7 to 24.8)","224.8
(139.1 to 354.8)","6.1
(4.7 to 7.9)","78.4
(31.7 to 148.0)","5.96
(5.19 to 6.76)","136.3
(108.0 to 168.5)","1.8
(1.6 to 2.0)","27.4
(13.7 to 44.6)"
High-income North America,"36.5
(30.5 to 45.5)","58.0
(20.2 to 111.9)","7.0
(5.7 to 8.9)","-6.4
(-30.4 to 29.2)","24.4
(22.7 to 25.9)","65.5
(50.9 to 81.8)","4.1
(3.8 to 4.4)","-9.3
(-17.6 to -0.0)"
Southern Latin America,"3.88
(3.29 to 4.62)","130.1
(86.6 to 192.2)","4.7
(4.0 to 5.7)","34.8
(8.7 to 73.3)","2.75
(2.54 to 2.92)","120.9
(95.3 to 150.6)","3.2
(3.0 to 3.4)","22.5
(8.1 to 38.3)"
Western Europe,"54.7
(46.7 to 66.3)","71.1
(36.0 to 116.6)","8.1
(6.8 to 10.0)","18.0
(-7.3 to 52.7)","35.8
(33.2 to 37.7)","63.9
(53.9 to 73.2)","4.6
(4.3 to 4.9)","5.7
(-0.7 to 12.0)"
Latin America and Caribbean,"30.5
(27.3 to 34.8)","169.4
(126.5 to 222.0)","4.8
(4.3 to 5.5)","33.9
(13.7 to 59.3)","23.4
(21.9 to 24.5)","187.2
(165.8 to 211.9)","3.7
(3.4 to 3.8)","29.8
(19.9 to 40.1)"
Andean Latin America,"3.84
(3.02 to 4.82)","327.0
(232.7 to 489.1)","5.9
(4.6 to 7.4)","104.8
(60.6 to 181.7)","2.73
(2.17 to 3.27)","320.7
(245.8 to 465.7)","4.2
(3.3 to 5.0)","84.8
(51.5 to 145.9)"
Caribbean,"2.43
(2.06 to 2.89)","82.7
(47.0 to 122.5)","4.6
(3.9 to 5.5)","9.6
(-11.5 to 33.5)","1.86
(1.64 to 2.13)","98.0
(73.9 to 126.8)","3.5
(3.1 to 4.0)","11.7
(-3.1 to 27.8)"
